record_type,city,lat,lon,scenario,period,season,metric,bound,value,source
city_location,San Diego,32.7157,-117.1611,,,,,,,ERA5/Open-Meteo
present_profile,San Diego,32.7157,-117.1611,Historical,1991-2020,Winter,seasonal_mean_temp_c,median,12.9,ERA5/Open-Meteo
present_profile,San Diego,32.7157,-117.1611,Historical,1991-2020,Winter,seasonal_precip_mm,median,180.0,ERA5/Open-Meteo
present_profile,San Diego,32.7157,-117.1611,Historical,1991-2020,Spring,seasonal_mean_temp_c,median,15.4,ERA5/Open-Meteo
present_profile,San Diego,32.7157,-117.1611,Historical,1991-2020,Spring,seasonal_precip_mm,median,82.0,ERA5/Open-Meteo
present_profile,San Diego,32.7157,-117.1611,Historical,1991-2020,Summer,seasonal_mean_temp_c,median,20.0,ERA5/Open-Meteo
present_profile,San Diego,32.7157,-117.1611,Historical,1991-2020,Summer,seasonal_precip_mm,median,7.0,ERA5/Open-Meteo
present_profile,San Diego,32.7157,-117.1611,Historical,1991-2020,Fall,seasonal_mean_temp_c,median,18.5,ERA5/Open-Meteo
present_profile,San Diego,32.7157,-117.1611,Historical,1991-2020,Fall,seasonal_precip_mm,median,42.0,ERA5/Open-Meteo
city_location,Los Angeles,34.0522,-118.2437,,,,,,,ERA5/Open-Meteo
present_profile,Los Angeles,34.0522,-118.2437,Historical,1991-2020,Winter,seasonal_mean_temp_c,median,12.2,ERA5/Open-Meteo
present_profile,Los Angeles,34.0522,-118.2437,Historical,1991-2020,Winter,seasonal_precip_mm,median,219.0,ERA5/Open-Meteo
present_profile,Los Angeles,34.0522,-118.2437,Historical,1991-2020,Spring,seasonal_mean_temp_c,median,16.4,ERA5/Open-Meteo
present_profile,Los Angeles,34.0522,-118.2437,Historical,1991-2020,Spring,seasonal_precip_mm,median,84.0,ERA5/Open-Meteo
present_profile,Los Angeles,34.0522,-118.2437,Historical,1991-2020,Summer,seasonal_mean_temp_c,median,23.4,ERA5/Open-Meteo
present_profile,Los Angeles,34.0522,-118.2437,Historical,1991-2020,Summer,seasonal_precip_mm,median,5.0,ERA5/Open-Meteo
present_profile,Los Angeles,34.0522,-118.2437,Historical,1991-2020,Fall,seasonal_mean_temp_c,median,19.6,ERA5/Open-Meteo
present_profile,Los Angeles,34.0522,-118.2437,Historical,1991-2020,Fall,seasonal_precip_mm,median,40.0,ERA5/Open-Meteo
city_location,Riverside,33.9806,-117.3755,,,,,,,ERA5/Open-Meteo
present_profile,Riverside,33.9806,-117.3755,Historical,1991-2020,Winter,seasonal_mean_temp_c,median,10.9,ERA5/Open-Meteo
present_profile,Riverside,33.9806,-117.3755,Historical,1991-2020,Winter,seasonal_precip_mm,median,268.0,ERA5/Open-Meteo
present_profile,Riverside,33.9806,-117.3755,Historical,1991-2020,Spring,seasonal_mean_temp_c,median,16.0,ERA5/Open-Meteo
present_profile,Riverside,33.9806,-117.3755,Historical,1991-2020,Spring,seasonal_precip_mm,median,107.0,ERA5/Open-Meteo
present_profile,Riverside,33.9806,-117.3755,Historical,1991-2020,Summer,seasonal_mean_temp_c,median,24.4,ERA5/Open-Meteo
present_profile,Riverside,33.9806,-117.3755,Historical,1991-2020,Summer,seasonal_precip_mm,median,7.0,ERA5/Open-Meteo
present_profile,Riverside,33.9806,-117.3755,Historical,1991-2020,Fall,seasonal_mean_temp_c,median,19.4,ERA5/Open-Meteo
present_profile,Riverside,33.9806,-117.3755,Historical,1991-2020,Fall,seasonal_precip_mm,median,57.0,ERA5/Open-Meteo
city_location,Phoenix,33.4484,-112.074,,,,,,,ERA5/Open-Meteo
present_profile,Phoenix,33.4484,-112.074,Historical,1991-2020,Winter,seasonal_mean_temp_c,median,12.2,ERA5/Open-Meteo
present_profile,Phoenix,33.4484,-112.074,Historical,1991-2020,Winter,seasonal_precip_mm,median,99.0,ERA5/Open-Meteo
present_profile,Phoenix,33.4484,-112.074,Historical,1991-2020,Spring,seasonal_mean_temp_c,median,22.6,ERA5/Open-Meteo
present_profile,Phoenix,33.4484,-112.074,Historical,1991-2020,Spring,seasonal_precip_mm,median,38.0,ERA5/Open-Meteo
present_profile,Phoenix,33.4484,-112.074,Historical,1991-2020,Summer,seasonal_mean_temp_c,median,34.1,ERA5/Open-Meteo
present_profile,Phoenix,33.4484,-112.074,Historical,1991-2020,Summer,seasonal_precip_mm,median,49.0,ERA5/Open-Meteo
present_profile,Phoenix,33.4484,-112.074,Historical,1991-2020,Fall,seasonal_mean_temp_c,median,23.9,ERA5/Open-Meteo
present_profile,Phoenix,33.4484,-112.074,Historical,1991-2020,Fall,seasonal_precip_mm,median,63.0,ERA5/Open-Meteo
city_location,Fresno,36.7378,-119.7871,,,,,,,ERA5/Open-Meteo
present_profile,Fresno,36.7378,-119.7871,Historical,1991-2020,Winter,seasonal_mean_temp_c,median,9.3,ERA5/Open-Meteo
present_profile,Fresno,36.7378,-119.7871,Historical,1991-2020,Winter,seasonal_precip_mm,median,227.0,ERA5/Open-Meteo
present_profile,Fresno,36.7378,-119.7871,Historical,1991-2020,Spring,seasonal_mean_temp_c,median,17.1,ERA5/Open-Meteo
present_profile,Fresno,36.7378,-119.7871,Historical,1991-2020,Spring,seasonal_precip_mm,median,124.0,ERA5/Open-Meteo
present_profile,Fresno,36.7378,-119.7871,Historical,1991-2020,Summer,seasonal_mean_temp_c,median,27.9,ERA5/Open-Meteo
present_profile,Fresno,36.7378,-119.7871,Historical,1991-2020,Summer,seasonal_precip_mm,median,7.0,ERA5/Open-Meteo
present_profile,Fresno,36.7378,-119.7871,Historical,1991-2020,Fall,seasonal_mean_temp_c,median,19.2,ERA5/Open-Meteo
present_profile,Fresno,36.7378,-119.7871,Historical,1991-2020,Fall,seasonal_precip_mm,median,59.0,ERA5/Open-Meteo
city_location,Tucson,32.2226,-110.9747,,,,,,,ERA5/Open-Meteo
present_profile,Tucson,32.2226,-110.9747,Historical,1991-2020,Winter,seasonal_mean_temp_c,median,11.5,ERA5/Open-Meteo
present_profile,Tucson,32.2226,-110.9747,Historical,1991-2020,Winter,seasonal_precip_mm,median,89.0,ERA5/Open-Meteo
present_profile,Tucson,32.2226,-110.9747,Historical,1991-2020,Spring,seasonal_mean_temp_c,median,21.0,ERA5/Open-Meteo
present_profile,Tucson,32.2226,-110.9747,Historical,1991-2020,Spring,seasonal_precip_mm,median,26.0,ERA5/Open-Meteo
present_profile,Tucson,32.2226,-110.9747,Historical,1991-2020,Summer,seasonal_mean_temp_c,median,31.0,ERA5/Open-Meteo
present_profile,Tucson,32.2226,-110.9747,Historical,1991-2020,Summer,seasonal_precip_mm,median,74.0,ERA5/Open-Meteo
present_profile,Tucson,32.2226,-110.9747,Historical,1991-2020,Fall,seasonal_mean_temp_c,median,22.3,ERA5/Open-Meteo
present_profile,Tucson,32.2226,-110.9747,Historical,1991-2020,Fall,seasonal_precip_mm,median,63.0,ERA5/Open-Meteo
city_location,Seattle,47.6062,-122.3321,,,,,,,ERA5/Open-Meteo
present_profile,Seattle,47.6062,-122.3321,Historical,1991-2020,Winter,seasonal_mean_temp_c,median,4.4,ERA5/Open-Meteo
present_profile,Seattle,47.6062,-122.3321,Historical,1991-2020,Winter,seasonal_precip_mm,median,469.0,ERA5/Open-Meteo
